id,name,city
1, John Doe ,New York
2, Jon Doe,New York
3,Johnny Doe ,Los Angeles
4, Jane Smith ,Chicago
5,Janet Smith,Chicago
6, John Doe,New York
7,Jonathon Doe ,New York
8, Jon Do,New York
9,John D.,New York
10, John Doe ,Los Angeles
11,Jane Smyth,Chicago
12, J. Smith ,Chicago
13, Janet Smythe,Chicago
14,Janie Smith ,Chicago
15, Johnny Do,Los Angeles
16, Johnathan Doe,Boston
17,John Doe ,Boston
18, John A. Doe,New York
19,John Doe Jr. ,New York
20, Johnny Doe ,Newark
21,Jon Doe ,Los Angeles
22, Jane Smith,Los Angeles
23, J. Smyth ,Chicago
24,Jane S.,Chicago
25, Janet Smith,Boston
26,Janet Smith ,New York
27, John Doe ,Chicago
28,John Doe ,Newark
29, Jonny Doe ,New York
30,Jonny D.,Los Angeles
31, J@ne Doe ,New York
32,Jon# Doe,New York
33, Johnny Døe,Los Angeles
34, Jånë Smith ,Chicago
35,Jane Sm!th ,Chicago
36, John* Doe,New York
37, John Dœ ,New York
38, J@nathan Doe,Boston
39,John^ Doe ,Boston
40,John A. D$e ,New York
41, John Doe!,New York
42,Johnny D()e ,Newark
43,Jon% Doe,Los Angeles
44, Jane Sm&th ,Los Angeles
45, J. Sm¥th,Chicago
46,Jane S.™ ,Chicago
47, Jane† Smith,Boston
48, Janet Sm‡th ,New York
49, John Doe@,Chicago
50,John Doe# ,Newark
